epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,3850.95,0.62499,1.06619,0.71494,1.19402,0.84009,0.72065,0.8015,0.66045,0.84245,0.69071,0.74857,0.56139,0.99261,2.8679,1.17174,1.59627,0.00105931,0.00105931,0.00105931
49,3859.4,0.60723,1.00813,0.64677,1.17196,0.8933,0.74069,0.76877,0.60382,0.85975,0.7118,0.72443,0.53915,1.11365,2.73323,1.15216,1.80653,0.00105821,0.00105821,0.00105821
50,3867.89,0.59773,1.00622,0.646,1.15683,0.89306,0.72576,0.76025,0.59107,0.8582,0.6966,0.71776,0.55205,1.05048,2.98058,1.32001,1.67395,0.00105711,0.00105711,0.00105711
51,3876.52,0.64263,1.03907,0.70037,1.18434,0.84559,0.74223,0.82481,0.63606,0.81481,0.71312,0.78964,0.58124,1.06007,2.71952,1.11601,1.74007,0.00105601,0.00105601,0.00105601
52,3885.02,0.64099,1.0762,0.66777,1.18791,0.85293,0.69669,0.80105,0.60405,0.83495,0.71546,0.77538,0.52412,1.02758,2.75593,1.23006,1.72688,0.00105491,0.00105491,0.00105491
53,3893.55,0.62963,1.08391,0.68775,1.2048,0.83136,0.74654,0.78203,0.60227,0.8031,0.71713,0.72929,0.51063,0.9518,2.82169,1.3699,1.65252,0.00105381,0.00105381,0.00105381
54,3902.55,0.6321,1.02152,0.64962,1.18417,0.91863,0.70591,0.82221,0.65794,0.82027,0.75044,0.78353,0.55667,0.97198,2.6148,1.29232,1.66772,0.00105271,0.00105271,0.00105271
55,3911.07,0.67296,1.06516,0.72236,1.24152,0.87639,0.80856,0.83645,0.65915,0.86207,0.78711,0.80953,0.56662,0.95807,2.4442,1.13915,1.57644,0.00105161,0.00105161,0.00105161
56,3919.73,0.64049,1.03485,0.69134,1.19596,0.8805,0.82124,0.85193,0.66467,0.83479,0.80492,0.82658,0.5699,0.91791,2.5273,1.15796,1.55154,0.00105051,0.00105051,0.00105051
57,3928.45,0.63851,1.08243,0.66684,1.18979,0.83896,0.69853,0.78766,0.59002,0.74615,0.62316,0.63689,0.46659,1.04258,2.91348,1.40198,1.74098,0.00104941,0.00104941,0.00104941
58,3936.96,0.62358,1.0593,0.74053,1.19379,0.87761,0.72978,0.82205,0.66454,0.84749,0.64821,0.76473,0.52385,0.87861,2.79654,1.15965,1.54184,0.00104831,0.00104831,0.00104831
59,3945.29,0.65813,1.07135,0.68876,1.20437,0.89974,0.72794,0.83023,0.67632,0.84902,0.7348,0.80479,0.53576,0.8654,2.71892,1.01171,1.47676,0.00104721,0.00104721,0.00104721
60,3954.01,0.6567,1.04999,0.68479,1.19979,0.82263,0.74081,0.81782,0.64238,0.72342,0.68979,0.7224,0.53439,0.97778,2.80849,1.24879,1.55905,0.00104611,0.00104611,0.00104611
61,3962.34,0.64019,1.10452,0.72734,1.20872,0.92887,0.65132,0.77274,0.62204,0.92602,0.65284,0.76583,0.51633,0.9702,2.9201,1.47352,1.61328,0.00104501,0.00104501,0.00104501
62,3970.63,0.68994,1.18345,0.72365,1.22641,0.90607,0.68943,0.84709,0.67151,0.84801,0.65201,0.77465,0.52227,0.95127,2.86537,1.08093,1.50296,0.00104391,0.00104391,0.00104391
63,3979.31,0.64677,1.11308,0.68517,1.21097,0.84664,0.67158,0.79278,0.60643,0.84664,0.67158,0.76909,0.54933,1.101,3.07798,1.41739,1.698,0.00104281,0.00104281,0.00104281
