epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,881.703,1.59677,2.63367,2.1012,2.2985,0.34585,0.60478,0.44386,0.1963,0.3191,0.54596,0.37428,0.18633,1.70499,3.00279,2.72748,2.54948,0.00101531,0.00101531,0.00101531
89,891.643,1.53819,2.57044,2.17462,2.28642,0.44107,0.40441,0.42429,0.19712,0.37579,0.32904,0.35442,0.17902,1.79801,3.18158,2.49964,2.68762,0.00101421,0.00101421,0.00101421
90,901.661,1.61035,2.63791,2.12011,2.25594,0.50113,0.48906,0.52622,0.22974,0.38182,0.38765,0.32752,0.18412,1.66112,3.20039,2.55526,2.50749,0.00101311,0.00101311,0.00101311
91,911.742,1.54342,2.45615,2.0767,2.20017,0.49702,0.59788,0.60345,0.29111,0.43443,0.53029,0.46954,0.23932,1.56452,2.83538,2.37577,2.4134,0.00101201,0.00101201,0.00101201
92,921.855,1.50788,2.55301,2.09249,2.23093,0.45916,0.66728,0.53689,0.24655,0.48591,0.45037,0.42667,0.21523,1.54955,2.94119,2.46173,2.45608,0.00101091,0.00101091,0.00101091
93,931.868,1.53283,2.42814,2.01687,2.25373,0.4187,0.52574,0.53908,0.27967,0.3917,0.46691,0.42277,0.22843,1.61903,3.00585,2.15996,2.46197,0.00100981,0.00100981,0.00100981
94,941.939,1.5265,2.66415,2.07092,2.26356,0.45072,0.4614,0.51717,0.25346,0.4766,0.39767,0.41335,0.21384,1.60941,3.01714,2.48228,2.3895,0.00100871,0.00100871,0.00100871
95,952.107,1.45289,2.4966,2.03156,2.18718,0.48211,0.47794,0.5187,0.29494,0.46732,0.44853,0.44358,0.20976,1.56798,3.06446,2.31239,2.32387,0.00100761,0.00100761,0.00100761
96,962.249,1.48101,2.54403,2.10947,2.18744,0.57012,0.49449,0.55716,0.32542,0.54937,0.46507,0.49901,0.25979,1.44571,2.93684,2.06179,2.30613,0.00100651,0.00100651,0.00100651
97,972.295,1.47356,2.49693,1.95221,2.17074,0.43951,0.541,0.52714,0.32177,0.53053,0.46782,0.4731,0.2414,1.34632,2.87466,2.37564,2.19989,0.00100541,0.00100541,0.00100541
98,982.23,1.41274,2.20605,1.86572,2.11391,0.66619,0.52043,0.60584,0.32676,0.50756,0.47978,0.46614,0.24174,1.42559,2.89255,1.99389,2.27718,0.00100431,0.00100431,0.00100431
99,991.997,1.50185,2.39257,1.83457,2.13855,0.54133,0.54228,0.58009,0.31751,0.44371,0.43566,0.46029,0.24123,1.51396,2.84339,2.03216,2.35607,0.00100321,0.00100321,0.00100321
100,1001.85,1.45339,2.30611,1.86715,2.15628,0.66195,0.58865,0.58679,0.28282,0.49316,0.45262,0.43408,0.22693,1.51116,2.83861,2.20028,2.3465,0.00100211,0.00100211,0.00100211
101,1011.71,1.40418,2.33799,1.8273,2.08085,0.47401,0.64447,0.57115,0.30343,0.48174,0.58234,0.53985,0.25983,1.59216,2.89929,2.37504,2.39299,0.00100101,0.00100101,0.00100101
102,1021.52,1.47164,2.42486,1.86352,2.15958,0.49112,0.56066,0.5739,0.29736,0.41462,0.52941,0.46108,0.2323,1.52923,2.92436,2.59925,2.41213,0.000999911,0.000999911,0.000999911
103,1031.33,1.4394,2.3448,1.88967,2.13393,0.55588,0.55054,0.62739,0.33792,0.53059,0.51245,0.54003,0.31283,1.57357,2.86811,2.12587,2.34091,0.000998811,0.000998811,0.000998811
104,1041.3,1.44419,2.23248,1.8588,2.09456,0.51291,0.68015,0.68724,0.37766,0.47159,0.59007,0.56822,0.32277,1.53875,2.94246,2.19365,2.30215,0.000997711,0.000997711,0.000997711
105,1051.28,1.37099,2.26079,1.87472,2.09777,0.34181,0.54228,0.5197,0.28043,0.55861,0.36029,0.44153,0.21471,1.4973,2.89617,2.31834,2.28817,0.000996611,0.000996611,0.000996611
106,1061.29,1.46758,2.3732,1.94094,2.15021,0.45405,0.72554,0.599,0.29689,0.36289,0.57208,0.41422,0.22749,1.54669,2.94611,2.15176,2.33596,0.000995512,0.000995512,0.000995512
107,1071.1,1.44312,2.16549,1.86754,2.09168,0.62607,0.55515,0.62636,0.34315,0.61129,0.52574,0.53589,0.2718,1.49629,2.79661,1.95988,2.27626,0.000994412,0.000994412,0.000994412
108,1081.08,1.45799,2.33248,1.90506,2.13985,0.5865,0.48346,0.52542,0.26257,0.5612,0.45404,0.44204,0.24252,1.60368,3.03121,2.27846,2.34165,0.000993312,0.000993312,0.000993312
109,1090.77,1.38952,2.04797,1.79791,2.05707,0.61707,0.43934,0.56101,0.29279,0.58295,0.40993,0.50158,0.28487,1.66185,2.74856,1.99154,2.41112,0.000992212,0.000992212,0.000992212
