epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,360.239,2.14832,3.08273,2.75229,2.78867,0.59834,0.27941,0.27963,0.10445,0.5901,0.25,0.16329,0.06543,2.46434,3.64586,3.33467,3.23262,0.0010648,0.0010648,0.0010648
44,368.549,2.13276,3.02569,2.77699,2.72805,0.33485,0.27022,0.24766,0.09781,0.28977,0.20772,0.18128,0.0719,2.37115,3.56456,3.1052,3.12404,0.0010637,0.0010637,0.0010637
45,376.627,2.02528,3.04679,2.74021,2.70716,0.33972,0.33088,0.30848,0.11865,0.22613,0.24663,0.19428,0.08113,2.12895,3.5272,2.77738,2.94496,0.0010626,0.0010626,0.0010626
46,385.029,2.0341,2.89201,2.65741,2.67027,0.2785,0.40554,0.33397,0.12579,0.21278,0.28309,0.21708,0.09042,2.2526,3.3956,2.65164,3.02636,0.0010615,0.0010615,0.0010615
47,393.335,2.07647,3.09174,2.68501,2.6378,0.21529,0.40993,0.28728,0.09616,0.11783,0.17095,0.21124,0.06309,2.53421,4.73066,3.28769,3.38073,0.00106041,0.00106041,0.00106041
48,401.53,2.0268,3.11645,2.66287,2.65485,0.31053,0.5,0.37779,0.14529,0.20146,0.41924,0.2314,0.08919,2.15841,3.53265,3.08334,2.96279,0.00105931,0.00105931,0.00105931
49,409.943,1.97136,2.96848,2.59272,2.6046,0.28491,0.39338,0.32127,0.11847,0.18996,0.25368,0.21912,0.10611,2.08447,3.30786,2.6974,2.83226,0.00105821,0.00105821,0.00105821
50,418.202,1.98657,3.11835,2.50721,2.59014,0.31859,0.47059,0.35758,0.11448,0.15271,0.27206,0.12519,0.04977,2.53195,4.61093,3.30534,3.39461,0.00105711,0.00105711,0.00105711
51,426.673,1.94074,2.91593,2.4565,2.54635,0.34018,0.28488,0.26846,0.09309,0.2819,0.24265,0.22696,0.08721,2.24996,3.43324,3.22923,3.03813,0.00105601,0.00105601,0.00105601
52,435.069,1.93582,3.1455,2.51642,2.56928,0.3759,0.32721,0.39093,0.14406,0.46609,0.26838,0.21474,0.08589,2.12701,3.96311,2.87175,3.01106,0.00105491,0.00105491,0.00105491
53,443.349,1.90591,2.97807,2.53951,2.52444,0.24967,0.40735,0.27394,0.12024,0.18011,0.38787,0.2077,0.08604,2.08722,3.78758,3.23789,2.86519,0.00105381,0.00105381,0.00105381
54,451.932,1.88227,3.01838,2.4971,2.5067,0.21774,0.39468,0.33413,0.14556,0.68666,0.25,0.25713,0.1105,1.94073,3.2371,3.12323,2.78588,0.00105271,0.00105271,0.00105271
55,460.324,1.92483,2.99216,2.50324,2.54035,0.30745,0.38787,0.35512,0.16427,0.26866,0.33427,0.2567,0.12881,1.91583,3.36941,3.26038,2.71862,0.00105161,0.00105161,0.00105161
56,468.676,1.7983,2.93589,2.43867,2.43768,0.31111,0.49449,0.33384,0.15263,0.29993,0.43199,0.27463,0.12472,2.11238,3.44684,3.01382,2.83285,0.00105051,0.00105051,0.00105051
57,476.982,1.83351,2.85039,2.45576,2.43473,0.33063,0.47794,0.40442,0.17601,0.28648,0.40441,0.31031,0.15125,1.98409,3.44899,2.86215,2.84849,0.00104941,0.00104941,0.00104941
58,485.378,1.79694,2.75204,2.37173,2.39092,0.38591,0.44853,0.3923,0.18405,0.17424,0.32721,0.24534,0.12991,1.93288,3.3925,2.48731,2.69001,0.00104831,0.00104831,0.00104831
59,493.753,1.81673,2.8112,2.32617,2.39013,0.48901,0.45404,0.48268,0.19962,0.45162,0.42279,0.38934,0.15163,1.84256,3.00566,2.54423,2.75848,0.00104721,0.00104721,0.00104721
60,502.187,1.78705,2.81445,2.33705,2.41327,0.47229,0.50288,0.48803,0.20943,0.35514,0.36213,0.3414,0.14832,1.94366,3.64148,2.77471,2.84071,0.00104611,0.00104611,0.00104611
61,510.625,1.79778,2.96817,2.38567,2.44003,0.40755,0.40809,0.38215,0.14825,0.28699,0.28493,0.24538,0.09416,2.16397,4.67437,2.61846,3.03235,0.00104501,0.00104501,0.00104501
